year,quarter,lad_code,hpi
2022,Q1,E07000175,95.63333333333333
2022,Q1,E07000176,97.45833333333333
2022,Q1,E07000177,96.75833333333333
2022,Q1,E07000178,101.73333333333333
2022,Q1,E07000179,100.39166666666667
2022,Q1,E07000180,97.02499999999999
2022,Q1,E07000181,93.89999999999999
2022,Q1,E07000192,95.04166666666667
2022,Q1,E07000193,97.575
2022,Q1,E07000194,97.05
2022,Q1,E07000195,94.95833333333333
2022,Q1,E07000196,99.125
2022,Q1,E07000197,98.66666666666667
2022,Q1,E07000198,96.68333333333334
2022,Q1,E07000199,97.66666666666667
2022,Q1,E07000200,101.13333333333333
2022,Q1,E07000202,97.10833333333333
2022,Q1,E07000203,97.04166666666667
2022,Q1,E07000207,97.20833333333333
2022,Q1,E07000208,97.25833333333333
2022,Q1,E07000209,99.125
2022,Q1,E07000210,97.68333333333334
2022,Q1,E07000211,98.51666666666667
2022,Q1,E07000212,97.625
2022,Q1,E07000213,94.16666666666667
2022,Q1,E07000214,97.70833333333333
2022,Q1,E07000215,99.19166666666666
2022,Q1,E07000216,97.94166666666666
2022,Q1,E07000217,98.26666666666667
2022,Q1,E07000218,97.03333333333335
2022,Q1,E07000219,96.09166666666665
2022,Q1,E07000220,98.22500000000001
2022,Q1,E07000221,95.63333333333333
2022,Q1,E07000222,97.39999999999999
2022,Q1,E07000223,99.175
2022,Q1,E07000224,96.98333333333333
2022,Q1,E07000225,100.325
2022,Q1,E07000226,97.36666666666667
2022,Q1,E07000227,97.83333333333333
2022,Q1,E07000228,97.27499999999999
2022,Q1,E07000229,98.925
2022,Q1,E07000234,96.71666666666665
2022,Q1,E07000235,94.875
2022,Q1,E07000236,97.47500000000001
2022,Q1,E07000237,97.19166666666666
2022,Q1,E07000238,97.925
2022,Q1,E07000239,97.85833333333333
2022,Q1,E07000240,99.125
2022,Q1,E07000241,99.76666666666667
2022,Q1,E07000242,98.89166666666667
2022,Q1,E07000243,97.60000000000001
2022,Q1,E07000244,96.78333333333335
2022,Q1,E07000245,97.575
2022,Q1,E08000001,96.05
2022,Q1,E08000002,97.29166666666667
2022,Q1,E08000003,100.22500000000001
2022,Q1,E08000004,97.325
2022,Q1,E08000005,94.75833333333333
2022,Q1,E08000006,98.56666666666666
2022,Q1,E08000007,97.175
2022,Q1,E08000008,97.425
2022,Q1,E08000009,97.68333333333334
2022,Q1,E08000010,94.79166666666667
2022,Q1,E08000011,94.54166666666667
2022,Q1,E08000012,98.175
2022,Q1,E08000014,97.10000000000001
2022,Q1,E08000015,97.34166666666665
2022,Q1,E08000017,96.96666666666665
2022,Q1,E08000018,95.64166666666667
2022,Q1,E08000021,98.15833333333335
2022,Q1,E08000022,96.43333333333334
2022,Q1,E08000023,95.39166666666667
2022,Q1,E08000024,98.625
2022,Q1,E08000025,96.33333333333333
2022,Q1,E08000026,98.16666666666667
2022,Q1,E08000027,96.13333333333333
2022,Q1,E08000028,96.38333333333333
2022,Q1,E08000029,97.825
2022,Q1,E08000030,97.54166666666667
2022,Q1,E08000031,94.64999999999999
2022,Q1,E08000032,95.98333333333333
2022,Q1,E08000033,96.51666666666667
2022,Q1,E08000034,96.27499999999999
2022,Q1,E08000035,97.45833333333333
2022,Q1,E08000036,95.99166666666667
2022,Q1,E08000037,97.33333333333333
2022,Q1,E08000038,97.77499999999999
2022,Q1,E08000039,94.43333333333334
2022,Q1,E09000001,103.99166666666667
2022,Q1,E09000002,97.23333333333333
2022,Q1,E09000003,98.78333333333335
2022,Q1,E09000004,96.49166666666667
2022,Q1,E09000005,99.68333333333334
2022,Q1,E09000006,97.03333333333335
2022,Q1,E09000007,99.33333333333333
2022,Q1,E09000008,96.13333333333333
2022,Q1,E09000009,96.06666666666666
2022,Q1,E09000010,98.94166666666666
2022,Q1,E09000011,100.11666666666667
2022,Q1,E09000012,100.3
2022,Q1,E09000013,95.02499999999999
2022,Q1,E09000014,96.78333333333335
2022,Q1,E09000015,98.23333333333333
2022,Q1,E09000016,96.55
2022,Q1,E09000017,97.20833333333333
2022,Q1,E09000018,94.52499999999999
2022,Q1,E09000019,102.7
2022,Q1,E09000020,106.22500000000001
2022,Q1,E09000021,97.50833333333333
2022,Q1,E09000022,100.27499999999999
2022,Q1,E09000023,98.29166666666667
2022,Q1,E09000024,98.56666666666666
2022,Q1,E09000025,98.925
2022,Q1,E09000026,97.74166666666667
2022,Q1,E09000027,101.16666666666667
2022,Q1,E09000028,97.8
2022,Q1,E09000029,96.21666666666665
2022,Q1,E09000030,105.39999999999999
2022,Q1,E09000031,97.64999999999999
2022,Q1,E09000032,101.5
2022,Q1,E09000033,94.325
2023,Q1,E06000001,97.24166666666667
2023,Q1,E06000002,96.5
2023,Q1,E06000003,99.47500000000001
2023,Q1,E06000004,98.625
2023,Q1,E06000005,98.64999999999999
2023,Q1,E06000006,97.46666666666665
2023,Q1,E06000007,98.78333333333335
2023,Q1,E06000008,99.15833333333335
2023,Q1,E06000009,97.34166666666665
2023,Q1,E06000010,98.59166666666665
2023,Q1,E06000011,98.91666666666667
2023,Q1,E06000012,98.675
2023,Q1,E06000013,98.45
2023,Q1,E06000014,99.34166666666665
2023,Q1,E06000015,99.39166666666667
2023,Q1,E06000016,97.85000000000001
2023,Q1,E06000017,101.93333333333334
2023,Q1,E06000018,99.59166666666665
2023,Q1,E06000020,99.74166666666667
2023,Q1,E06000021,99.21666666666665
2023,Q1,E06000022,100.72500000000001
2023,Q1,E06000023,98.22500000000001
2023,Q1,E06000024,98.2
2023,Q1,E06000025,97.77499999999999
2023,Q1,E06000026,97.75833333333333
2023,Q1,E06000027,96.825
2023,Q1,E06000030,99.81666666666666
2023,Q1,E06000031,97.55833333333334
2023,Q1,E06000032,97.58333333333333
2023,Q1,E06000033,96.86666666666667
2023,Q1,E06000034,97.71666666666665
2023,Q1,E06000035,96.95833333333333
2023,Q1,E06000036,98.11666666666667
2023,Q1,E06000037,97.91666666666667
2023,Q1,E06000038,97.04166666666667
2023,Q1,E06000039,98.06666666666666
2023,Q1,E06000040,97.375
2023,Q1,E06000041,98.56666666666666
2023,Q1,E06000042,97.52499999999999
2023,Q1,E06000043,96.02499999999999
2023,Q1,E06000044,97.78333333333335
2023,Q1,E06000045,97.01666666666667
2023,Q1,E06000046,97.23333333333333
2023,Q1,E06000047,96.34166666666665
2023,Q1,E06000049,98.575
2023,Q1,E06000050,97.93333333333334
2023,Q1,E06000051,98.36666666666667
2023,Q1,E06000052,98.28333333333335
2023,Q1,E06000054,98.175
2023,Q1,E06000055,99.71666666666665
2023,Q1,E06000056,97.56666666666666
2023,Q1,E06000057,99.49166666666667
2023,Q1,E06000058,95.73333333333333
2023,Q1,E06000059,98.64166666666667
2023,Q1,E06000060,99.26666666666667
2023,Q1,E06000061,98.13333333333333
2023,Q1,E06000062,97.65833333333335
2023,Q1,E06000063,99.55833333333334
2023,Q1,E06000064,100.45833333333333
2023,Q1,E06000065,98.70833333333333
2023,Q1,E06000066,97.61666666666667
2023,Q1,E07000008,99.7
2023,Q1,E07000009,100.53333333333335
2023,Q1,E07000010,97.03333333333335
2023,Q1,E07000011,98.74166666666667
2023,Q1,E07000012,100.25833333333333
2023,Q1,E07000032,97.675
2023,Q1,E07000033,100.70833333333333
2023,Q1,E07000034,99.23333333333333
2023,Q1,E07000035,97.21666666666665
2023,Q1,E07000036,100.72500000000001
2023,Q1,E07000037,98.49166666666667
2023,Q1,E07000038,94.2
2023,Q1,E07000039,99.175
2023,Q1,E07000040,101.09166666666665
2023,Q1,E07000041,97.375
2023,Q1,E07000042,97.20833333333333
2023,Q1,E07000043,101.125
2023,Q1,E07000044,100.22500000000001
2023,Q1,E07000045,97.55
2023,Q1,E07000046,93.28333333333335
