year,quarter,lad_code,claimant_count
2018,Q3,E06000049,3395
2018,Q3,E06000050,4568
2018,Q3,E06000051,2480
2018,Q3,E06000052,4853
2018,Q3,E06000053,5
2018,Q3,E06000054,4238
2018,Q3,E06000055,3227
2018,Q3,E06000056,1578
2018,Q3,E06000057,4610
2018,Q3,E06000058,4743
2018,Q3,E06000059,2702
2018,Q3,E06000060,3020
2018,Q3,E06000061,4000
2018,Q3,E06000062,3962
2018,Q3,E06000063,3935
2018,Q3,E06000064,1515
2018,Q3,E06000065,5290
2018,Q3,E06000066,6963
2018,Q3,E07000008,723
2018,Q3,E07000009,343
2018,Q3,E07000010,843
2018,Q3,E07000011,860
2018,Q3,E07000012,485
2018,Q3,E07000032,1115
2018,Q3,E07000033,845
2018,Q3,E07000034,1668
2018,Q3,E07000035,275
2018,Q3,E07000036,1922
2018,Q3,E07000037,703
2018,Q3,E07000038,852
2018,Q3,E07000039,537
2018,Q3,E07000040,538
2018,Q3,E07000041,757
2018,Q3,E07000042,408
2018,Q3,E07000043,497
2018,Q3,E07000044,393
2018,Q3,E07000045,605
2018,Q3,E07000046,487
2018,Q3,E07000047,303
