feature,intended_type,actual_pandas_dtype,feature_group,missing_rate_all_rows,nunique_all_rows
ftse_100_qoq_pct_lag8q,float32_numeric,float64,market / FX,0.028509719222462204,32
ftse_100_yoy_pct_lag1q,float32_numeric,float64,market / FX,0.017710583153347732,36
ftse_100_yoy_pct_lag4q,float32_numeric,float64,market / FX,0.02706983441324694,31
ftse_100_yoy_pct_lag8q,float32_numeric,float64,market / FX,0.0367170626349892,29
income_qoq_pct_lag1q,float32_numeric,float64,income / affordability,0.4426205903527718,831
income_qoq_pct_lag2q,float32_numeric,float64,income / affordability,0.40259179265658745,831
income_qoq_pct_lag4q,float32_numeric,float64,income / affordability,0.320374370050396,1104
income_qoq_pct_lag8q,float32_numeric,float64,income / affordability,0.15593952483801296,1389
income_yoy_pct_lag1q,float32_numeric,float64,income / affordability,0.4426205903527718,1142
income_yoy_pct_lag2q,float32_numeric,float64,income / affordability,0.40259179265658745,1148
income_yoy_pct_lag4q,float32_numeric,float64,income / affordability,0.320374370050396,1432
income_yoy_pct_lag8q,float32_numeric,float64,income / affordability,0.15593952483801296,1727
uk_bank_rate_qoq_pct_lag2q,float32_numeric,float64,interest rate,0.009503239740820735,22
uk_bank_rate_qoq_pct_lag4q,float32_numeric,float64,interest rate,0.017278617710583154,17
uk_bank_rate_qoq_pct_lag8q,float32_numeric,float64,interest rate,0.028509719222462204,18
uk_bank_rate_yoy_pct_lag1q,float32_numeric,float64,interest rate,0.017710583153347732,27
uk_bank_rate_yoy_pct_lag2q,float32_numeric,float64,interest rate,0.021454283657307414,26
uk_bank_rate_yoy_pct_lag4q,float32_numeric,float64,interest rate,0.02706983441324694,21
uk_bank_rate_yoy_pct_lag8q,float32_numeric,float64,interest rate,0.0367170626349892,21
brent_oil_price_qoq_pct_lag1q,float32_numeric,float64,oil / energy proxy,0.005183585313174946,42
brent_oil_price_qoq_pct_lag2q,float32_numeric,float64,oil / energy proxy,0.009503239740820735,41
brent_oil_price_qoq_pct_lag4q,float32_numeric,float64,oil / energy proxy,0.017278617710583154,37
brent_oil_price_qoq_pct_lag8q,float32_numeric,float64,oil / energy proxy,0.028509719222462204,32
brent_oil_price_yoy_pct_lag1q,float32_numeric,float64,oil / energy proxy,0.017710583153347732,36
brent_oil_price_yoy_pct_lag2q,float32_numeric,float64,oil / energy proxy,0.021454283657307414,35
brent_oil_price_yoy_pct_lag4q,float32_numeric,float64,oil / energy proxy,0.02706983441324694,31
brent_oil_price_yoy_pct_lag8q,float32_numeric,float64,oil / energy proxy,0.0367170626349892,29
population_qoq_pct_lag1q,float32_numeric,float64,population / scale,0.1150467962562995,1394
population_qoq_pct_lag2q,float32_numeric,float64,population / scale,0.0734341252699784,1400
population_qoq_pct_lag4q,float32_numeric,float64,population / scale,0.032253419726421886,1673
population_qoq_pct_lag8q,float32_numeric,float64,population / scale,0.03167746580273578,1672
population_yoy_pct_lag1q,float32_numeric,float64,population / scale,0.11547876169906407,1731
population_yoy_pct_lag2q,float32_numeric,float64,population / scale,0.07386609071274298,1739
population_yoy_pct_lag8q,float32_numeric,float64,population / scale,0.03153347732181425,2021
internal_net_migration_qoq_pct_lag1q,float32_numeric,float64,migration,0.1156227501799856,1392
internal_net_migration_qoq_pct_lag2q,float32_numeric,float64,migration,0.07401007919366451,1398
internal_net_migration_qoq_pct_lag4q,float32_numeric,float64,migration,0.03282937365010799,1668
internal_net_migration_qoq_pct_lag8q,float32_numeric,float64,migration,0.031965442764578834,1668
internal_net_migration_yoy_pct_lag2q,float32_numeric,float64,migration,0.07444204463642909,1734
internal_net_migration_yoy_pct_lag4q,float32_numeric,float64,migration,0.03282937365010799,2014
internal_net_migration_yoy_pct_lag8q,float32_numeric,float64,migration,0.03153347732181425,2010
international_net_migration_qoq_pct_lag1q,float32_numeric,float64,migration,0.11677465802735781,1377
international_net_migration_qoq_pct_lag2q,float32_numeric,float64,migration,0.07516198704103672,1383
international_net_migration_qoq_pct_lag4q,float32_numeric,float64,migration,0.033837293016558675,1639
international_net_migration_qoq_pct_lag8q,float32_numeric,float64,migration,0.033693304535637146,1616
international_net_migration_yoy_pct_lag1q,float32_numeric,float64,migration,0.11706263498920086,1694
international_net_migration_yoy_pct_lag2q,float32_numeric,float64,migration,0.07530597552195824,1702
international_net_migration_yoy_pct_lag4q,float32_numeric,float64,migration,0.033981281497480205,1954
international_net_migration_yoy_pct_lag8q,float32_numeric,float64,migration,0.03441324694024478,1946
cpi_00_all_items_qoq_pct_lag1q,float32_numeric,float64,CPI total,0.005183585313174946,41
cpi_00_all_items_qoq_pct_lag2q,float32_numeric,float64,CPI total,0.009503239740820735,40
cpi_00_all_items_qoq_pct_lag4q,float32_numeric,float64,CPI total,0.017278617710583154,36
cpi_00_all_items_qoq_pct_lag8q,float32_numeric,float64,CPI total,0.028509719222462204,31
cpi_00_all_items_yoy_pct_lag1q,float32_numeric,float64,CPI total,0.017710583153347732,36
cpi_00_all_items_yoy_pct_lag2q,float32_numeric,float64,CPI total,0.021454283657307414,35
cpi_00_all_items_yoy_pct_lag8q,float32_numeric,float64,CPI total,0.0367170626349892,29
house_price_to_income_qoq_pct_lag1q,float32_numeric,float64,house price / housing,0.4479481641468683,3834
house_price_to_income_qoq_pct_lag2q,float32_numeric,float64,house price / housing,0.40791936645068394,4112
house_price_to_income_qoq_pct_lag4q,float32_numeric,float64,house price / housing,0.326133909287257,4680
house_price_to_income_qoq_pct_lag8q,float32_numeric,float64,house price / housing,0.16342692584593232,5810
house_price_to_income_yoy_pct_lag1q,float32_numeric,float64,house price / housing,0.4479481641468683,3834
house_price_to_income_yoy_pct_lag2q,float32_numeric,float64,house price / housing,0.40791936645068394,4112
house_price_to_income_yoy_pct_lag4q,float32_numeric,float64,house price / housing,0.326133909287257,4680
house_price_to_income_yoy_pct_lag8q,float32_numeric,float64,house price / housing,0.16342692584593232,5810
annual_rent_to_income_qoq_pct_lag1q,float32_numeric,float64,rent,0.4652267818574514,3624
annual_rent_to_income_qoq_pct_lag2q,float32_numeric,float64,rent,0.42649388048956083,3879
annual_rent_to_income_qoq_pct_lag4q,float32_numeric,float64,rent,0.34730021598272137,4413
annual_rent_to_income_qoq_pct_lag8q,float32_numeric,float64,rent,0.1896328293736501,5445
annual_rent_to_income_yoy_pct_lag1q,float32_numeric,float64,rent,0.4652267818574514,3714
annual_rent_to_income_yoy_pct_lag2q,float32_numeric,float64,rent,0.42649388048956083,3983
annual_rent_to_income_yoy_pct_lag4q,float32_numeric,float64,rent,0.34730021598272137,4533
annual_rent_to_income_yoy_pct_lag8q,float32_numeric,float64,rent,0.1896328293736501,5624
unemployment_per_1000_qoq_pct_lag1q,float32_numeric,float64,unemployment,0.6502519798416126,2427
unemployment_per_1000_qoq_pct_lag2q,float32_numeric,float64,unemployment,0.6332613390928725,2544
unemployment_per_1000_qoq_pct_lag4q,float32_numeric,float64,unemployment,0.6167026637868971,2660
unemployment_per_1000_qoq_pct_lag8q,float32_numeric,float64,unemployment,0.6167026637868971,2658
unemployment_per_1000_yoy_pct_lag1q,float32_numeric,float64,unemployment,0.6502519798416126,2429
homelessness_per_1000_lag1q,float32_numeric,float64,target history,0.00043196544276457883,6781
homelessness_relief_lag1q,float32_numeric,float64,target history,0.00043196544276457883,634
log1p_homelessness_relief_lag1q,float32_numeric,float64,target history,0.00043196544276457883,634
homelessness_total_assessments_lag2q,float32_numeric,float64,target history,0.06033117350611951,966
log1p_homelessness_total_assessments_lag2q,float32_numeric,float64,target history,0.06033117350611951,966
computed_homelessness_rate_per_1000_lag2q,float32_numeric,float64,target history,0.1277177825773938,5938
log1p_computed_homelessness_rate_per_1000_lag2q,float32_numeric,float64,target history,0.1277177825773938,5938
homelessness_per_1000_lag2q,float32_numeric,float64,target history,0.06076313894888409,6371
homelessness_relief_lag2q,float32_numeric,float64,target history,0.06076313894888409,624
log1p_homelessness_relief_lag2q,float32_numeric,float64,target history,0.06076313894888409,624
homelessness_total_assessments_lag4q,float32_numeric,float64,target history,0.15334773218142547,923
log1p_homelessness_total_assessments_lag4q,float32_numeric,float64,target history,0.15334773218142547,923
computed_homelessness_rate_per_1000_lag4q,float32_numeric,float64,target history,0.17235421166306694,5640
log1p_computed_homelessness_rate_per_1000_lag4q,float32_numeric,float64,target history,0.17235421166306694,5640
homelessness_per_1000_lag4q,float32_numeric,float64,target history,0.1539236861051116,5737
homelessness_relief_lag4q,float32_numeric,float64,target history,0.1539236861051116,593
log1p_homelessness_relief_lag4q,float32_numeric,float64,target history,0.1539236861051116,593
homelessness_total_assessments_lag8q,float32_numeric,float64,target history,0.2502519798416127,844
computed_homelessness_rate_per_1000_lag8q,float32_numeric,float64,target history,0.25903527717782576,5057
log1p_computed_homelessness_rate_per_1000_lag8q,float32_numeric,float64,target history,0.25903527717782576,5057
homelessness_per_1000_lag8q,float32_numeric,float64,target history,0.2554355651547876,4681
homelessness_relief_lag8q,float32_numeric,float64,target history,0.3277177825773938,530
homelessness_total_assessments_rolling4_mean_lag1q,float32_numeric,float64,target history,0.04708423326133909,2650
homelessness_total_assessments_rolling4_std_lag1q,float32_numeric,float64,target history,0.04708423326133909,5779
homelessness_total_assessments_rolling8_mean_lag1q,float32_numeric,float64,target history,0.006911447084233261,4255
homelessness_total_assessments_rolling8_std_lag1q,float32_numeric,float64,target history,0.006911447084233261,6796
